,score,remaining_marbles,moves
0,22,9,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((2, 3), (2, 5)), ((0, 4), (0, 2)), ((2, 6), (2, 4)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((3, 4), (5, 4)), ((6, 3), (4, 3)), ((5, 5), (5, 3)), ((3, 2), (3, 0)), ((2, 0), (4, 0)), ((4, 2), (4, 4))]"
1,22,9,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((2, 3), (2, 5)), ((0, 4), (0, 2)), ((2, 6), (2, 4)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((3, 4), (5, 4)), ((6, 3), (4, 3)), ((5, 5), (5, 3)), ((3, 2), (3, 0)), ((2, 0), (4, 0)), ((4, 2), (4, 4))]"
2,24,9,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((2, 3), (2, 5)), ((0, 4), (0, 2)), ((2, 6), (2, 4)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((3, 4), (5, 4)), ((6, 3), (4, 3)), ((5, 5), (5, 3)), ((3, 2), (3, 4)), ((5, 3), (3, 3)), ((3, 3), (3, 5))]"
3,22,9,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((2, 3), (2, 5)), ((0, 4), (0, 2)), ((2, 6), (2, 4)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((3, 4), (5, 4)), ((6, 3), (4, 3)), ((5, 5), (5, 3)), ((3, 2), (3, 4)), ((5, 3), (3, 3)), ((2, 4), (4, 4))]"
4,22,9,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 4), (4, 4)), ((5, 5), (3, 5)), ((2, 2), (2, 4)), ((4, 2), (2, 2))]"
5,23,9,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 4), (4, 4)), ((5, 5), (3, 5)), ((2, 2), (2, 4)), ((3, 2), (3, 0))]"
6,23,9,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 4), (4, 4)), ((5, 5), (3, 5)), ((3, 2), (3, 0)), ((2, 2), (2, 4))]"
7,25,9,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 4), (4, 4)), ((5, 5), (3, 5)), ((3, 2), (3, 0)), ((3, 3), (1, 3))]"
8,23,9,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 4), (4, 4)), ((5, 5), (3, 5)), ((3, 2), (3, 0)), ((2, 2), (2, 4))]"
9,25,9,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 4), (4, 4)), ((5, 5), (3, 5)), ((3, 2), (3, 0)), ((3, 3), (1, 3))]"
